Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central African Republic,CAF,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.581599014,4.784816792,4.893161947,5.001602815,5.166601912,5.306110677,5.130238442,5.168726972,5.305226131,5.509361058,5.587032746,5.595155259,5.643572323,5.75992474,5.791857456,5.964575008,6.031303767,6.022471343,6.227232817,,,,,,
Central Europe and the Baltics,CEB,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.491755077,4.68550354,4.70909075,4.750592156,5.154402792,5.305417789,5.378108676,5.59705605,6.029698974,6.464736329,6.809418413,6.841510776,7.060815681,7.119430522,7.542796376,7.823940354,8.13320031,8.667316356,9.030161701,9.360595818,9.12033363,9.459901597,9.832918259,10.13324868,10.65907319,,,,,,,
Switzerland,CHE,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.70763125,15.33031682,15.25588173,15.62791512,15.6846943,15.98821763,15.75538859,15.8327378,16.11733869,16.35617054,17.23279784,16.48143065,16.89512262,16.82006176,17.21196887,17.78570989,17.72896287,19.37465893,19.16723031,18.58963436,19.75532494,20.77411211,20.81328153,20.30206529,22.1651912,23.02619332,,,,,,
Channel Islands,CHI,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.240265109,9.741883721,10.01469977,10.41556731,10.17473161,10.31475878,9.945913382,9.538748172,9.597201191,9.007990338,9.403284529,9.884601441,9.854001432,10.21325558,10.23035402,10.50210102,10.70003062,10.84925578,11.36927603,11.54922439,11.69993128,11.40680951,10.93812082,10.86566159,11.85443053,12.13115375,,,,,,
China,CHN,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.856460259,2.08278689,2.300812209,2.473624181,2.66971714,2.758862808,2.95054999,3.22648779,3.455912573,3.650131438,3.839519402,3.996869545,4.086425581,3.934817743,3.798664815,3.827710302,3.946598202,4.168381043,4.431141196,4.537338368,4.545191338,4.64254785,4.824485568,5.036621381,5.328018576,,,,,,,
Cote d'Ivoire,CIV,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72301293,11.40021483,10.42729083,10.04930503,9.886701832,10.63111437,10.19616509,10.95684985,11.45307615,9.718127378,10.02789557,10.2023606,9.284419701,9.356934966,6.85093342,6.689398276,6.993995165,6.56963777,6.848936365,7.743027368,7.633473861,6.300730221,6.254130897,6.467774936,6.897937858,,,,,,,
Cameroon,CMR,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.993542687,7.615221168,7.299774536,6.495803134,6.395793719,6.467889388,6.578032631,6.685492885,6.805237522,7.057501701,7.027160667,7.245498629,7.394716235,7.493431314,7.77927998,7.905613602,8.611460277,9.527331667,9.713633622,9.216469689,9.411807162,10.09579337,10.24251386,10.23371864,10.35432363,,,,,,,
"Congo, Dem. Rep.",COD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.338405339,4.882948345,4.291759736,3.640834802,3.486253391,3.367860623,3.223838424,2.990193821,2.871328535,2.737502377,2.545718662,2.411288425,2.399012939,2.441764214,2.506379268,2.561080085,2.598918808,2.664617719,2.729731812,2.725867066,2.815965642,2.833822932,2.445885721,2.524749849,2.645020158,,,,,,,
